loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),deviceOrientation(Z)
2018-04-08 10:31:37.097,1523201495.999192,30.32761344474721,-97.75601718861044,209.261,27.825440000000004,181.3503723144531,3.0,8.0,-9999,1523201496.987935,-1735.7979736328118,-1362.923217773438,-1464.6895751953118,271.1911010742188,267.3582763671875,10,213307.51425225,0.9683837890625,0.0015869140625,-0.0167388916015625,213307.51425225,-0.02312209721628596,-0.0217923808840094,0.00774393981773241,213307.49550125,2.324352481014178,1.5641842227212501,-0.02687634978259239,-0.009719440713524818,-0.00718096550554037,0.005396711174398661,-0.04112052917480469,0.004361629486083984,-0.024884521961212158,XArbitraryCorrectedZVertical,-0.6504715085029602,0.271259993314743,0.6472103595733643,0.2905566692352295,0.9996166229248048,0.026873113587498658,-0.006609665229916573,0,0,0,-1,213262.33090175,automotive,2,2018-04-08 10:30:51.912 -0500,4
2018-04-08 10:31:37.197,1523201496.999192,30.327359362489556,-97.756024093036,208.8823,27.79601,181.3503723144531,3.0,8.0,-9999,1523201497.1127949,-1735.7293701171882,-1363.257934570312,-1462.6341552734382,271.17868041992193,267.34585571289057,10,213307.61425625,0.9167633056640624,-0.0082244873046875,0.0447998046875,213307.61425625,-0.02308667717378791,-0.044662543061173864,0.0153461994654726,213307.59550525,2.32442974218323,1.5638485825148312,-0.02704140042456681,0.01050907839089632,-0.1411331444978714,0.042293433099985116,0.1653677821159363,0.0127568244934082,-0.143125057220459,XArbitraryCorrectedZVertical,-0.6503958702087402,0.2711321413516998,0.6473070979118347,0.2906304001808167,0.9996101856231688,0.02703810483217239,-0.0069451481103897095,0,0,0,-1,213262.33090175,automotive,2,2018-04-08 10:30:51.912 -0500,4
2018-04-08 10:31:37.297,1523201496.999192,30.327359362489556,-97.756024093036,208.8823,27.79601,181.3503723144531,3.0,8.0,-9999,1523201497.212863,-1735.4736328125,-1364.708740234375,-1467.4285888671882,271.19931030273443,267.36648559570307,10,213307.71426025,1.09033203125,0.060638427734375,-0.128509521484375,213307.71426025,0.01269821839360682,-0.07947511851458065,0.04206462941780157,213307.69550925,2.324291805792013,1.5648126140301193,-0.02653590511648167,0.0008025113493204117,-0.06050869822502136,0.0462820902466774,0.1150249242782593,0.001299262046813965,-0.1175078153610229,XArbitraryCorrectedZVertical,-0.6506201028823853,0.2714824080467224,0.6470462679862976,0.2903815507888794,0.9996295571327208,0.026532791554927833,-0.005981567781418562,0,0,0,-1,213262.33090175,automotive,2,2018-04-08 10:30:51.912 -0500,4
2018-04-08 10:31:37.397,1523201496.999192,30.327359362489556,-97.756024093036,208.8823,27.79601,181.3503723144531,3.0,8.0,-9999,1523201497.312899,-1735.796142578125,-1362.889892578125,-1462.07861328125,271.1956176757812,267.36279296875,10,213307.81426425,1.09716796875,0.0089111328125,-0.11920166015625,213307.81426425,0.003156911156179929,-0.04135942436114858,0.03231186718982239,213307.79551425,2.324246063895882,1.5669469667095433,-0.02461108946851344,0.00788429006934166,0.04517690092325211,0.04684500768780708,0.038808286190032966,0.01398089528083801,-0.02663886547088623,XArbitraryCorrectedZVertical,-0.6510410308837891,0.2724362015724182,0.6466230154037476,0.2894868552684784,0.9996896386146544,0.02460860460996628,-0.003848184365779161,0,0,0,-1,213262.33090175,automotive,2,2018-04-08 10:30:51.912 -0500,4
2018-04-08 10:31:37.498,1523201496.999192,30.327359362489556,-97.756024093036,208.8823,27.79601,181.3503723144531,3.0,8.0,-9999,1523201497.4129999,-1735.77734375,-1362.999755859375,-1462.607666015625,271.1970825195312,267.3642578125,10,213307.91426825,1.042236328125,-0.0510406494140625,-0.062347412109375,213307.91426825,-0.02215563605669621,0.04898831561978957,-0.02258067656667285,213307.89551825,2.3242600160906477,1.5675349798596618,-0.02395365350195621,-0.0002903500571846962,0.04835051298141479,-0.027064429596066468,0.001467108726501465,-0.01862606406211853,-0.007832705974578856,XArbitraryCorrectedZVertical,-0.6511430740356445,0.2727315425872803,0.6465284824371338,0.2891905009746552,0.9997078180313109,0.02395136281847954,-0.003260405734181404,0,0,0,-1,213262.33090175,automotive,2,2018-04-08 10:30:51.912 -0500,4
2018-04-08 10:31:37.597,1523201496.999192,30.327359362489556,-97.756024093036,208.8823,27.79601,181.3503723144531,3.0,8.0,-9999,1523201497.537806,-1735.7755126953118,-1363.007934570312,-1462.492919921875,271.19345092773443,267.36062622070307,10,213308.01427325,1.00311279296875,0.0072174072265625,-0.031341552734375,213308.01427325,-0.014864699940386281,0.1023535364911244,-0.042151981101556164,213307.99552225,2.324202483278838,1.569133612209315,-0.02563538492870724,-0.0045331818982958785,0.0962519869208336,-0.054036665707826614,-0.02118486166000366,-0.04050987958908081,0.02484029531478882,XArbitraryCorrectedZVertical,-0.6518815159797668,0.2724323868751526,0.6457566022872925,0.2895331382751465,0.9996699690818788,0.02563257701694965,-0.001662167371250689,0,0,0,-1,213262.33090175,automotive,2,2018-04-08 10:30:51.912 -0500,4
2018-04-08 10:31:37.697,1523201496.999192,30.327359362489556,-97.756024093036,208.8823,27.79601,181.3503723144531,3.0,8.0,-9999,1523201497.6379712,-1735.8331298828118,-1362.702758789062,-1462.7464599609382,271.1974487304688,267.3646240234375,10,213308.11427725,1.01409912109375,0.0792999267578125,-0.0231475830078125,213308.11427725,-0.001396827991746561,0.1862479045185825,-0.04582261603201238,213308.09552625,2.324192434551214,1.5702554641613502,-0.02836730573838012,-0.00047868676483631134,0.1583514362573624,-0.0575510561466217,-0.093072772026062,0.0013301074504852288,0.07900130748748779,XArbitraryCorrectedZVertical,-0.6526142358779907,0.2717063426971436,0.6449936628341675,0.2902643084526062,0.9995973706245422,0.028363501653075218,-0.0005406449199654162,0,0,0,-1,213262.33090175,automotive,2,2018-04-08 10:30:51.912 -0500,4
2018-04-08 10:31:37.797,1523201496.999192,30.327359362489556,-97.756024093036,208.8823,27.79601,181.3503723144531,3.0,8.0,-9999,1523201497.763193,-1735.973388671875,-1361.876708984375,-1458.25048828125,271.1900024414062,267.357177734375,10,213308.21428125,0.8534393310546875,0.0473480224609375,0.0801849365234375,213308.21428125,-0.04315785704527909,0.08814503944333361,-0.06655798827936933,213308.19553025,2.324371587894424,1.5705550607432253,-0.029026621797756738,-0.02340114861726761,0.07879975438117981,-0.062413372099399574,-0.1443538069725037,-0.037506431341171265,0.1203278303146362,XArbitraryCorrectedZVertical,-0.6528247594833374,0.2714760601520538,0.6448261141777039,0.2903782725334167,0.9995784163475036,0.029022546485066414,-0.0002411643363302574,0,0,0,-1,213262.33090175,automotive,2,2018-04-08 10:30:51.912 -0500,4
2018-04-08 10:31:37.897,1523201496.999192,30.327359362489556,-97.756024093036,208.8823,27.79601,181.3503723144531,3.0,8.0,-9999,1523201497.8635821,-1735.6302490234382,-1363.817260742188,-1464.3133544921882,271.21200561523443,267.37918090820307,10,213308.31428525,0.85687255859375,0.0320281982421875,0.0618133544921875,213308.31428525,-0.04508651830671448,-0.01205666288700673,-0.03931225243120468,213308.29553525,2.3244422865564482,1.5694023103375891,-0.029202889569881037,-0.0240426491945982,-0.1107383146882057,-0.03371180966496468,-0.0281674861907959,0.03214159607887268,-0.06542479991912843,XArbitraryCorrectedZVertical,-0.6524865031242371,0.2712280452251434,0.6451870799064636,0.2905687689781189,0.9995725154876708,0.029198739677667618,-0.001393421436659992,0,0,0,-1,213262.33090175,automotive,2,2018-04-08 10:30:51.912 -0500,4
2018-04-08 10:31:38.000,1523201496.999192,30.327359362489556,-97.756024093036,208.8823,27.79601,181.3503723144531,3.0,8.0,-9999,1523201497.9879642,-1735.6334228515618,-1363.737915039062,-1462.1673583984382,271.22518920898443,267.39236450195307,10,213308.41429025,0.964752197265625,0.0258636474609375,-0.033905029296875,213308.41429025,0.005479986575056049,-0.07953211016190835,-0.0007550061690374642,213308.39553925,2.3241636697875228,1.5692585193202258,-0.029878113087917237,0.008290519937872887,-0.0605480968952179,0.011944144964218141,0.07643622159957886,0.004504382610321045,-0.1142771244049072,XArbitraryCorrectedZVertical,-0.6524940133094788,0.2710774838924408,0.6450955867767334,0.2908957302570343,0.999552607536316,0.029873667284846313,-0.00153712066821754,0,0,0,-1,213262.33090175,automotive,2,2018-04-08 10:30:51.912 -0500,4
